Country	TerritoryName	CategoryName	ProductSubcategory	ProductName	ProductColor	OrderQty	SubTotal	YearOrdered	MonthOrdered
USA	Northwest	Accessories	Tires and Tubes	Patch Kit/8 Patches		1	2.29	2014	January
USA	Southwest	Accessories	Tires and Tubes	Touring Tire		1	36.27	2014	January
USA	Southwest	Accessories	Tires and Tubes	Touring Tire Tube		1	36.27	2014	January
USA	Southwest	Accessories	Tires and Tubes	Patch Kit/8 Patches		1	36.27	2014	January
USA	Northwest	Accessories	Tires and Tubes	Touring Tire		1	36.27	2014	January
USA	Northwest	Accessories	Tires and Tubes	Touring Tire Tube		1	36.27	2014	January
USA	Northwest	Accessories	Tires and Tubes	Patch Kit/8 Patches		1	36.27	2014	January
USA	Northwest	Accessories	Bottles and Cages	Mountain Bottle Cage		1	14.98	2014	January
USA	Northwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	14.98	2014	January
USA	Northwest	Clothing	Shorts	Women's Mountain Shorts, L	Black	1	123.98	2014	January
USA	Northwest	Clothing	Jerseys	Short-Sleeve Classic Jersey, M	Yellow	1	123.98	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	68.97	2014	January
USA	Southwest	Accessories	Hydration Packs	Hydration Pack - 70 oz.	Silver	1	68.97	2014	January
USA	Southwest	Clothing	Socks	Racing Socks, M	White	1	68.97	2014	January
USA	Northwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	12.94	2014	January
USA	Northwest	Accessories	Cleaners	Bike Wash - Dissolver		1	12.94	2014	January
USA	Northwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	67.93	2014	January
USA	Northwest	Accessories	Hydration Packs	Hydration Pack - 70 oz.	Silver	1	67.93	2014	January
USA	Northwest	Accessories	Cleaners	Bike Wash - Dissolver		1	67.93	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	4.99	2014	January
USA	Southwest	Accessories	Tires and Tubes	Mountain Tire Tube		1	4.99	2014	January
USA	Southwest	Bikes	Mountain Bikes	Mountain-200 Silver, 38	Silver	1	2387.21	2014	January
USA	Southwest	Accessories	Tires and Tubes	HL Mountain Tire		1	2387.21	2014	January
USA	Southwest	Accessories	Fenders	Fender Set - Mountain		1	2387.21	2014	January
USA	Southwest	Accessories	Tires and Tubes	Patch Kit/8 Patches		1	2387.21	2014	January
USA	Southwest	Accessories	Cleaners	Bike Wash - Dissolver		1	2387.21	2014	January
USA	Northwest	Bikes	Mountain Bikes	Mountain-200 Silver, 46	Silver	1	2395.96	2014	January
USA	Northwest	Accessories	Fenders	Fender Set - Mountain		1	2395.96	2014	January
USA	Northwest	Clothing	Jerseys	Short-Sleeve Classic Jersey, XL	Yellow	1	2395.96	2014	January
USA	Southwest	Bikes	Road Bikes	Road-750 Black, 48	Black	1	608.96	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	608.96	2014	January
USA	Southwest	Accessories	Bottles and Cages	Road Bottle Cage		1	608.96	2014	January
USA	Southwest	Accessories	Hydration Packs	Hydration Pack - 70 oz.	Silver	1	608.96	2014	January
USA	Southwest	Bikes	Road Bikes	Road-750 Black, 44	Black	1	553.97	2014	January
USA	Southwest	Accessories	Bottles and Cages	Road Bottle Cage		1	553.97	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	553.97	2014	January
USA	Northwest	Bikes	Road Bikes	Road-750 Black, 58	Black	1	603.49	2014	January
USA	Northwest	Clothing	Vests	Classic Vest, S	Blue	1	603.49	2014	January
USA	Southwest	Bikes	Road Bikes	Road-350-W Yellow, 44	Yellow	1	1725.98	2014	January
USA	Southwest	Accessories	Tires and Tubes	ML Road Tire		1	1725.98	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Black	Black	1	34.99	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Black	Black	1	109.47	2014	January
USA	Southwest	Clothing	Jerseys	Long-Sleeve Logo Jersey, S	Multi	1	109.47	2014	January
USA	Southwest	Clothing	Gloves	Half-Finger Gloves, L	Black	1	109.47	2014	January
USA	Southwest	Accessories	Tires and Tubes	Road Tire Tube		1	36.59	2014	January
USA	Southwest	Accessories	Tires and Tubes	HL Road Tire		1	36.59	2014	January
USA	Southwest	Accessories	Tires and Tubes	ML Mountain Tire		1	38.98	2014	January
USA	Southwest	Clothing	Socks	Racing Socks, M	White	1	38.98	2014	January
USA	Northwest	Clothing	Shorts	Women's Mountain Shorts, L	Black	1	69.99	2014	January
USA	Northwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	13.98	2014	January
USA	Northwest	Clothing	Caps	AWC Logo Cap	Multi	1	13.98	2014	January
USA	Southwest	Clothing	Shorts	Women's Mountain Shorts, M	Black	1	94.48	2014	January
USA	Southwest	Clothing	Gloves	Half-Finger Gloves, L	Black	1	94.48	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	13.98	2014	January
USA	Southwest	Clothing	Caps	AWC Logo Cap	Multi	1	13.98	2014	January
USA	Southwest	Accessories	Tires and Tubes	Mountain Tire Tube		1	7.28	2014	January
USA	Southwest	Accessories	Tires and Tubes	Patch Kit/8 Patches		1	7.28	2014	January
USA	Southwest	Accessories	Tires and Tubes	Mountain Tire Tube		1	54.97	2014	January
USA	Southwest	Accessories	Tires and Tubes	HL Mountain Tire		1	54.97	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	54.97	2014	January
USA	Southwest	Accessories	Bottles and Cages	Mountain Bottle Cage		1	54.97	2014	January
USA	Southwest	Bikes	Mountain Bikes	Mountain-400-W Silver, 38	Silver	1	839.46	2014	January
USA	Southwest	Accessories	Tires and Tubes	Mountain Tire Tube		1	839.46	2014	January
USA	Southwest	Accessories	Tires and Tubes	ML Mountain Tire		1	839.46	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Black	Black	1	839.46	2014	January
USA	Southwest	Bikes	Mountain Bikes	Mountain-400-W Silver, 40	Silver	1	902.46	2014	January
USA	Southwest	Clothing	Shorts	Women's Mountain Shorts, L	Black	1	902.46	2014	January
USA	Southwest	Clothing	Jerseys	Short-Sleeve Classic Jersey, L	Yellow	1	902.46	2014	January
USA	Southwest	Clothing	Caps	AWC Logo Cap	Multi	1	902.46	2014	January
USA	Southwest	Bikes	Mountain Bikes	Mountain-200 Silver, 46	Silver	1	2322.28	2014	January
USA	Southwest	Accessories	Tires and Tubes	Patch Kit/8 Patches		1	2322.28	2014	January
USA	Southwest	Bikes	Mountain Bikes	Mountain-200 Black, 42	Black	1	2318.96	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	2318.96	2014	January
USA	Southwest	Accessories	Bottles and Cages	Mountain Bottle Cage		1	2318.96	2014	January
USA	Southwest	Clothing	Caps	AWC Logo Cap	Multi	1	2318.96	2014	January
USA	Northwest	Bikes	Touring Bikes	Touring-3000 Blue, 50	Blue	1	771.34	2014	January
USA	Northwest	Accessories	Tires and Tubes	Touring Tire		1	771.34	2014	January
USA	Southwest	Bikes	Touring Bikes	Touring-1000 Yellow, 54	Yellow	1	2398.05	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	2398.05	2014	January
USA	Southwest	Accessories	Bottles and Cages	Road Bottle Cage		1	2398.05	2014	January
USA	Southwest	Bikes	Touring Bikes	Touring-2000 Blue, 54	Blue	1	1274.33	2014	January
USA	Southwest	Clothing	Gloves	Half-Finger Gloves, S	Black	1	1274.33	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Blue	Blue	1	1274.33	2014	January
USA	Southwest	Bikes	Road Bikes	Road-750 Black, 52	Black	1	617.47	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	617.47	2014	January
USA	Southwest	Accessories	Bottles and Cages	Road Bottle Cage		1	617.47	2014	January
USA	Southwest	Clothing	Vests	Classic Vest, S	Blue	1	617.47	2014	January
USA	Northwest	Bikes	Road Bikes	Road-550-W Yellow, 44	Yellow	1	1143.46	2014	January
USA	Northwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	1143.46	2014	January
USA	Northwest	Clothing	Caps	AWC Logo Cap	Multi	1	1143.46	2014	January
USA	Northwest	Accessories	Bottles and Cages	Road Bottle Cage		1	1143.46	2014	January
USA	Northwest	Bikes	Road Bikes	Road-550-W Yellow, 44	Yellow	1	1155.48	2014	January
USA	Northwest	Accessories	Helmets	Sport-100 Helmet, Blue	Blue	1	1155.48	2014	January
USA	Southwest	Bikes	Road Bikes	Road-550-W Yellow, 48	Yellow	1	1155.48	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Black	Black	1	1155.48	2014	January
USA	Southwest	Clothing	Caps	AWC Logo Cap	Multi	1	8.99	2014	January
USA	Northwest	Accessories	Bike Racks	Hitch Rack - 4-Bike		1	120	2014	January
USA	Northwest	Accessories	Tires and Tubes	ML Road Tire		1	151.27	2014	January
USA	Northwest	Accessories	Tires and Tubes	Road Tire Tube		1	151.27	2014	January
USA	Northwest	Accessories	Tires and Tubes	Patch Kit/8 Patches		1	151.27	2014	January
USA	Northwest	Accessories	Bike Racks	Hitch Rack - 4-Bike		1	151.27	2014	January
Central	Central	Accessories	Tires and Tubes	LL Road Tire		1	21.49	2014	January
USA	Northwest	Accessories	Tires and Tubes	LL Mountain Tire		1	59.98	2014	January
USA	Northwest	Accessories	Helmets	Sport-100 Helmet, Black	Black	1	59.98	2014	January
